name,country,address,list_type,program,risk_level,source,notes
Aurora Engineering,Belarus,,OFAC_SDN,NPWMD,High,OFAC,
Axis Marine Lines,Syria,,OFAC_SDN,SDGT,High,OFAC,
Bahrain Engineering Works,Bahrain,,OFAC_SDN,SDGT,High,OFAC,
Balochistan Cargo Movers,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Blue Planet Tools,China,,OFAC_SDN,NPWMD,High,OFAC,
Brown River Imports,Iraq,,OFAC_SDN,SDGT,High,OFAC,
CargoLink Express,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Caspian Heavy Tools,Iran,,OFAC_SDN,NPWMD,High,OFAC,
Central Marine Lines,Lebanon,,OFAC_SDN,SDGT,High,OFAC,
Cobalt Electronics Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Coral Steel Enterprises,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Cosmos Industrial Co,China,,OFAC_SDN,NPWMD,High,OFAC,
Crimson Trading House,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Delta Ocean Lines,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Diamond Star Imports,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Eagle Marine Traders,Saudi Arabia,,OFAC_SDN,SDGT,High,OFAC,
Eclipse Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Elite Metals Group,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Everest Industrial Machines,India,,OFAC_SDN,NPWMD,High,OFAC,
Falcon Marine Services,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Galaxy Semiconductors,China,,OFAC_SDN,NPWMD,High,OFAC,
Global Ocean Carriers,Syria,,OFAC_SDN,SDGT,High,OFAC,
Global Trading Sphere,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Golden Bridge Logistics,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Golden Star Metal Works,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Greenline Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Horizon Global Imports,Bahrain,,OFAC_SDN,SDGT,High,OFAC,
Hydra Engineering Tools,China,,OFAC_SDN,NPWMD,High,OFAC,
Imperial Cargo Movers,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Inferno Steel Traders,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
IronTech Engineering,China,,OFAC_SDN,NPWMD,High,OFAC,
Kabul Electronics Group,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Kinetic Defense Corp,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Liberty Metal Traders,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Matrix Electronics Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Maven Marine Services,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Mercury Global Co,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Nexus Metal Traders,Turkey,,OFAC_SDN,SDGT,High,OFAC,
NovaTech Precision Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Omega Marine Transport,Syria,,OFAC_SDN,SDGT,High,OFAC,
Onyx Industrial Works,China,,OFAC_SDN,NPWMD,High,OFAC,
Orbit Global Traders,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Pacific Steel Exports,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Phoenix Ocean Freight,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Prime Defense Tech,China,,OFAC_SDN,NPWMD,High,OFAC,
Proton Global Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Quantum Maritime Lines,Lebanon,,OFAC_SDN,SDGT,High,OFAC,
Raven Industries Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Redline Cargo Services,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Ruby Star Traders,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Sahara Global Imports,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Sapphire Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Shadow Marine Lines,Yemen,,OFAC_SDN,SDGT,High,OFAC,
SilverTech Engineering,China,,OFAC_SDN,NPWMD,High,OFAC,
Sky Marine Freight,Syria,,OFAC_SDN,SDGT,High,OFAC,
Solaris Industrial Co,China,,OFAC_SDN,NPWMD,High,OFAC,
Starlight Semiconductors,China,,OFAC_SDN,NPWMD,High,OFAC,
StoneBridge Imports,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Sun Marine Traders,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Thunder Defense Systems,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Titanium Metals Group,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Urban Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Vertex Global Lines,Syria,,OFAC_SDN,SDGT,High,OFAC,
Violet Marine Group,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Vulcan Manufacturing,China,,OFAC_SDN,NPWMD,High,OFAC,
WindStar Cargo Services,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Zen Marine Holdings,Lebanon,,OFAC_SDN,SDGT,High,OFAC,
Zion Electronics Corp,China,,OFAC_SDN,NPWMD,High,OFAC,
AeroTech Precision Ltd,China,,ENTITY_LIST,,High,BIS,
Alpha Semiconductor Co,Taiwan,,ENTITY_LIST,,High,BIS,
Alpine Steel Industries,India,,ENTITY_LIST,,High,BIS,
Altima Electronics Group,UAE,,ENTITY_LIST,,High,BIS,
Apex Industrial Tools,China,,ENTITY_LIST,,High,BIS,
Arctic Navigation Systems,Russia,,ENTITY_LIST,,High,BIS,
Asia Pacific Robotics,China,,ENTITY_LIST,,High,BIS,
Atlas Heavy Machinery,Belarus,,ENTITY_LIST,,High,BIS,
Aurora Space Technologies,China,,ENTITY_LIST,,High,BIS,
Beijing Advanced Optics,China,,ENTITY_LIST,,High,BIS,
Beijing Aeronautics Institute,China,,ENTITY_LIST,,High,BIS,
Bharat Industrial Metals,India,,ENTITY_LIST,,High,BIS,
Blue River Electronics,China,,ENTITY_LIST,,High,BIS,
Brightway Global Trading,Pakistan,,ENTITY_LIST,,High,BIS,
Caspian MicroSystems,Russia,,ENTITY_LIST,,High,BIS,
Central Asia Electronics,Kazakhstan,,ENTITY_LIST,,High,BIS,
Changzhou Robotics Co,China,,ENTITY_LIST,,High,BIS,
Chongqing Sensors Inc,China,,ENTITY_LIST,,High,BIS,
Cobalt Navigation Systems,China,,ENTITY_LIST,,High,BIS,
ComTech Integrated Circuits,China,,ENTITY_LIST,,High,BIS,
Cosmos Engineering Works,Iran,,ENTITY_LIST,,High,BIS,
Crimson Dynamics,Russia,,ENTITY_LIST,,High,BIS,
CyberLink Automation,China,,ENTITY_LIST,,High,BIS,
Dalian Aero Components,China,,ENTITY_LIST,,High,BIS,
Delta Semiconductor Pvt Ltd,India,,ENTITY_LIST,,High,BIS,
Diamond Precision Tools,China,,ENTITY_LIST,,High,BIS,
Eastern Robotics Lab,China,,ENTITY_LIST,,High,BIS,
Elite Industrial Chemicals,Iran,,ENTITY_LIST,,High,BIS,
Empire Navigation Systems,Russia,,ENTITY_LIST,,High,BIS,
Everest Precision Works,China,,ENTITY_LIST,,High,BIS,
Falcon Radar Systems,Pakistan,,ENTITY_LIST,,High,BIS,
Fars Electronics Industries,Iran,,ENTITY_LIST,,High,BIS,
FutureTech Robotics,China,,ENTITY_LIST,,High,BIS,
Galaxy Navigation Labs,China,,ENTITY_LIST,,High,BIS,
Global Semiconductor Hub,China,,ENTITY_LIST,,High,BIS,
Golden Star Metallurgy,Iran,,ENTITY_LIST,,High,BIS,
Green Valley Electronics,China,,ENTITY_LIST,,High,BIS,
Hafez Industrial Engineering,Iran,,ENTITY_LIST,,High,BIS,
Harbin Aviation R&D,China,,ENTITY_LIST,,High,BIS,
Horizon Engine Components,China,,ENTITY_LIST,,High,BIS,
Ibrahim Analytical Systems,Pakistan,,ENTITY_LIST,,High,BIS,
Iceberg Engineering,Russia,,ENTITY_LIST,,High,BIS,
Imperial Dynamics Group,China,,ENTITY_LIST,,High,BIS,
Industrial Metals Overseas,UAE,,ENTITY_LIST,,High,BIS,
Infinite Microsystems,China,,ENTITY_LIST,,High,BIS,
Inspire Robotics,China,,ENTITY_LIST,,High,BIS,
Iran NanoMaterials Institute,Iran,,ENTITY_LIST,,High,BIS,
IronBridge Engineering,Russia,,ENTITY_LIST,,High,BIS,
Jiangsu Fiber Optics,China,,ENTITY_LIST,,High,BIS,
Jinlong Chip Fabrication,China,,ENTITY_LIST,,High,BIS,
Kabul Engineering Solutions,Afghanistan,,ENTITY_LIST,,High,BIS,
Kalashnikov Metals Ltd,Pakistan,,ENTITY_LIST,,High,BIS,
Kamran Aerospace Systems,Pakistan,,ENTITY_LIST,,High,BIS,
Karam Scientific Industries,Iran,,ENTITY_LIST,,High,BIS,
KazTech Microsystems,Kazakhstan,,ENTITY_LIST,,High,BIS,
Kinetic Semiconductor Works,China,,ENTITY_LIST,,High,BIS,
Liberty Optoelectronics,Russia,,ENTITY_LIST,,High,BIS,
Lion Industrial Materials,UAE,,ENTITY_LIST,,High,BIS,
Lotus Precision Tools,China,,ENTITY_LIST,,High,BIS,
Magma Robotics Institute,China,,ENTITY_LIST,,High,BIS,
Marine Navigation Tech,Russia,,ENTITY_LIST,,High,BIS,
Medina Electronics,Pakistan,,ENTITY_LIST,,High,BIS,
Mercury Chip Solutions,China,,ENTITY_LIST,,High,BIS,
MidEast Metals Trading,UAE,,ENTITY_LIST,,High,BIS,
Mirage Aerospace Components,China,,ENTITY_LIST,,High,BIS,
Nano Precision Materials,China,,ENTITY_LIST,,High,BIS,
NanoCore Scientific,Russia,,ENTITY_LIST,,High,BIS,
NeoVision Optics,China,,ENTITY_LIST,,High,BIS,
Neptune Marine Labs,China,,ENTITY_LIST,,High,BIS,
name,country,,ENTITY_LIST,,High,BIS,
NexGen Robotics Labs,China,,ENTITY_LIST,,High,BIS,
Nile Aerospace Components,Egypt,,ENTITY_LIST,,High,BIS,
North Frontier Electronics,Russia,,ENTITY_LIST,,High,BIS,
Northern Optics Research Lab,China,,ENTITY_LIST,,High,BIS,
Nova Industrial Metallurgy,India,,ENTITY_LIST,,High,BIS,
Oceanic MicroSensors,China,,ENTITY_LIST,,High,BIS,
Omega Robotics Systems,China,,ENTITY_LIST,,High,BIS,
Onyx Navigation Instruments,Russia,,ENTITY_LIST,,High,BIS,
Orbit Semiconductor Labs,China,,ENTITY_LIST,,High,BIS,
Oriental MicroTech,China,,ENTITY_LIST,,High,BIS,
Pacific Aero Components,China,,ENTITY_LIST,,High,BIS,
Pacific Engineering Solutions,Pakistan,,ENTITY_LIST,,High,BIS,
Pearl NanoSystems,China,,ENTITY_LIST,,High,BIS,
Phoenix Aerospace Works,Iran,,ENTITY_LIST,,High,BIS,
Pioneer Metallurgical Works,India,,ENTITY_LIST,,High,BIS,
Polar Star Communications,Russia,,ENTITY_LIST,,High,BIS,
Precision Advanced Tools,China,,ENTITY_LIST,,High,BIS,
PrimeTech Integrated Systems,UAE,,ENTITY_LIST,,High,BIS,
Quantum Applied Materials,China,,ENTITY_LIST,,High,BIS,
Quantum Circuits Manufacturing,China,,ENTITY_LIST,,High,BIS,
RapidCore Chips,China,,ENTITY_LIST,,High,BIS,
Redline Marine Engineering,Russia,,ENTITY_LIST,,High,BIS,
Renaissance Optoelectronics,China,,ENTITY_LIST,,High,BIS,
Rising Star Metallurgy,China,,ENTITY_LIST,,High,BIS,
RiverTech Electronics,China,,ENTITY_LIST,,High,BIS,
Royal Chip Foundry,China,,ENTITY_LIST,,High,BIS,
Sahara Advanced Materials,Iran,,ENTITY_LIST,,High,BIS,
Salman Engineering Works,Pakistan,,ENTITY_LIST,,High,BIS,
Samara Optics,Russia,,ENTITY_LIST,,High,BIS,
Seawave Dynamics,China,,ENTITY_LIST,,High,BIS,
Shaanxi Robotics Institute,China,,ENTITY_LIST,,High,BIS,
SharpEdge Precision Tools,China,,ENTITY_LIST,,High,BIS,
Sigma Microelectronics,China,,ENTITY_LIST,,High,BIS,
Silverline Navigation,Russia,,ENTITY_LIST,,High,BIS,
SkyBridge Electronics,China,,ENTITY_LIST,,High,BIS,
SkyCore Robotics,China,,ENTITY_LIST,,High,BIS,
Solar Systems Integration,China,,ENTITY_LIST,,High,BIS,
SolidWave Defense Labs,Russia,,ENTITY_LIST,,High,BIS,
South Asia Precision Tools,Pakistan,,ENTITY_LIST,,High,BIS,
Southern Robotics Manufacturing,China,,ENTITY_LIST,,High,BIS,
Spectra Optics Research,China,,ENTITY_LIST,,High,BIS,
StarChip Nano Foundry,China,,ENTITY_LIST,,High,BIS,
SteelCore Defense Materials,Iran,,ENTITY_LIST,,High,BIS,
Stellar Navigation Components,China,,ENTITY_LIST,,High,BIS,
Storm Engineering,Russia,,ENTITY_LIST,,High,BIS,
Summit Industrial Machinery,China,,ENTITY_LIST,,High,BIS,
Sunrise AeroTech,China,,ENTITY_LIST,,High,BIS,
Superior Precision Metals,India,,ENTITY_LIST,,High,BIS,
Synergy Dynamics,Russia,,ENTITY_LIST,,High,BIS,
Tactical Systems Electronics,China,,ENTITY_LIST,,High,BIS,
TechBridge Industrial Co,China,,ENTITY_LIST,,High,BIS,
TechCore Materials,China,,ENTITY_LIST,,High,BIS,
