name,address,country,denial_order_start,denial_order_end,reason
MegaChip MicroSystems,Chongqing, China,2018-05-25,2033-05-25,Acquisition of controlled microprocessors
Meridian Global Logistics,Doha, Qatar,2020-04-10,2035-04-10,Shipping of controlled technical items
MetroNav Navigation Systems,Beijing, China,2021-11-05,2036-11-05,Development of restricted navigation software
MidEast Metal Works,Shiraz, Iran,2019-06-21,2034-06-21,Procurement of defense-grade metals
Mirage Robotics Institute,Chengdu, China,2017-03-02,2030-03-02,Research into dual-use robotics
Mogadishu Aero Metals,Mogadishu, Somalia,2020-10-12,2035-10-12,Materials diverted to extremist groups
Moonlight Industrial Co,Tehran, Iran,2021-01-19,2036-01-19,Unauthorized procurement for restricted labs
NanoCore Marine Technologies,Shanghai, China,2016-08-14,2029-08-14,Marine sensor acquisition violations
NanoFusion Engineering,Wuhan, China,2020-07-30,2035-07-30,Creation of defense-relevant nanomaterials
National Marine Optics,Alexandria, Egypt,2018-12-07,2033-12-07,Procurement of submarine periscope optics
Neptune Marine Navigation,Beirut, Lebanon,2019-09-21,2034-09-21,Transport of restricted navigation systems
Nexus Chip Works,Shenzhen, China,2021-03-26,2036-03-26,Unauthorized semiconductor reexport
North Steel Traders,Rawalpindi, Pakistan,2018-04-08,2033-04-08,Supply to prohibited industrial sites
Northern Precision Tools,Minsk, Belarus,2020-09-05,2035-09-05,Production of prohibited machining tools
Nova Navigation Sensors,Kuala Lumpur, Malaysia,2019-02-11,2034-02-11,Controlled navigation hardware acquisition
Ocean Deep Marine,Doha, Qatar,2017-06-17,2030-06-17,Shipping restricted items to sanctioned customers
Omega Micro Engineering,Shanghai, China,2020-05-23,2035-05-23,Export violations involving advanced ICs
OmniTech Robots,Beijing, China,2018-01-15,2033-01-15,Development of robotic control systems
OptiVision Electronics,Tehran, Iran,2021-10-11,2036-10-11,Acquisition of controlled optical components
Orbit Heavy Metals,Kabul, Afghanistan,2019-08-13,2034-08-13,Diversion to weapons manufacturing
Pacific Aero Components,Manila, Philippines,2020-06-04,2035-06-04,Unauthorized reexport of aircraft tools
Pacific Engineering Co,Doha, Qatar,2018-07-29,2033-07-29,Supporting illicit procurement networks
Pioneer Chip Solutions,Shenzhen, China,2021-04-22,2036-04-22,Controlled semiconductor acquisition
Platinum Marine Traders,Tripoli, Libya,2017-03-25,2030-03-25,Illegal maritime transfers
PolarSun Electronics,Harbin, China,2019-09-29,2034-09-29,Unauthorized acquisition of sensitive electronics
Precision Marine Tools,Mogadishu, Somalia,2020-02-03,2035-02-03,Procurement of restricted marine components
Prime Industrial Robotics,Shanghai, China,2018-05-18,2033-05-18,Development of dual-use robotics
Quantum Systems Lab,Beijing, China,2021-07-30,2036-07-30,Quantum chip testing for restricted facilities
Rafah Electronics,Kabul, Afghanistan,2019-11-04,2034-11-04,Supply to designated extremist actors
Raja Metals Traders,Rawalpindi, Pakistan,2016-05-19,2029-05-19,Diversion of critical alloys
Rapid Defense Solutions,Moscow, Russia,2020-03-09,2035-03-09,Support to EW military systems
Raven Navigation Tools,Shanghai, China,2018-04-21,2033-04-21,Manufacture of missile-grade navigation parts
RealTech Robotics,Hong Kong, China,2019-08-26,2034-08-26,Export-controlled AI robotics
Red Crescent Steel,Tripoli, Libya,2021-06-19,2036-06-19,Steel diversion for weapons production
Redline Navigation,Rostov, Russia,2017-09-10,2030-09-10,Assisting restricted navigation programs
Royal Marine Hub,Mogadishu, Somalia,2020-05-07,2035-05-07,Transport violations involving maritime systems
Sahara Chip Traders,Dubai, UAE,2019-12-12,2034-12-12,Unauthorized procurement of advanced microchips
SamTech Precision Tools,Kabul, Afghanistan,2018-10-02,2031-10-02,Support to extremist-controlled workshops
SeaBridge Logistics,Jeddah, Saudi Arabia,2020-01-28,2035-01-28,Shipping prohibited cargo
Seawave Steel Foundry,Doha, Qatar,2018-06-15,2033-06-15,Industrial steel diversion
SharpCore MicroSystems,Shenzhen, China,2021-09-03,2036-09-03,Unauthorized acquisition of U.S. ICs
SilverLine Marine,Rostov, Russia,2019-03-13,2034-03-13,Support to naval military systems
SkyBridge Materials,Minsk, Belarus,2017-11-08,2030-11-08,High-risk materials procurement
SkyCore Engineering,Gwadar, Pakistan,2020-07-19,2035-07-19,Material supply to extremist units
Star Industrial Tools,Tehran, Iran,2019-01-12,2034-01-12,Export violations involving metal equipment
SteelRay Manufacturing,Shanghai, China,2021-02-18,2036-02-18,Procurement of controlled steel alloys
Sultan Marine Co,Alexandria, Egypt,2020-08-30,2035-08-30,Illegal shipping of restricted components
SunTech Mechanics,Hong Kong, China,2017-04-03,2030-04-03,Unauthorized reexport of industrial machinery
Titan Heavy Engines,Doha, Qatar,2019-05-22,2034-05-22,Engine components diverted to restricted actors
TransAsia Micro Circuits,Shanghai, China,2021-03-16,2036-03-16,Controlled microchip acquisition
TriStar Marine Movers,Mogadishu, Somalia,2018-09-07,2031-09-07,Maritime transport for illicit networks
United AeroTool Works,Islamabad, Pakistan,2020-06-26,2035-06-26,Procurement of parts for drone research
Ural Optics,Rostov, Russia,2019-10-18,2034-10-18,Development of restricted optical sensors
Vega Chip Technologies,Wuhan, China,2021-11-02,2036-11-02,Unauthorized acquisition of U.S. processors
Velocity Marine Systems,Tripoli, Libya,2017-06-21,2030-06-21,Support to prohibited maritime programs
Venus Global Metals,Rawalpindi, Pakistan,2018-01-14,2031-01-14,Export diversion involving critical alloys
Victory Engineering Pty Ltd,Perth, Australia,2019-05-09,2034-05-09,Unauthorized export of specialized tools
WestPoint Navigation Systems,Beijing, China,2020-09-14,2035-09-14,Controlled navigation system procurement
White Star Steel,Kabul, Afghanistan,2017-02-26,2030-02-26,Material supplier to extremist networks
Xiang Marine Industries,Shanghai, China,2021-04-30,2036-04-30,Procurement of controlled shipping components
Yemeni Industrial Works,Aden, Yemen,2018-03-07,2031-03-07,Support to high-risk procurement channels
Zhonghua Robotics,Shenzhen, China,2019-12-28,2034-12-28,Development of restricted robotic systems
Zircon Naval Technologies,Rostov, Russia,2020-01-10,2035-01-10,Assisting naval weapons development
Zubair Engineering Tools,Karachi, Pakistan,2021-06-22,2036-06-22,Procurement for extremist-linked workshops
